ID,Branch Name,Tier,2016Population,2011Population
AG,Agincourt,DL ,61990,60424
ACD,Albert Cambell,DL,50849,49530
AB,Albion,DL,49010,48697
AD,Alderwood,NL,12054,11904
AP,Amesbury Park,NL,23156,23120
AN,Annette,NL,10593,10147
AH,Armour Heights,NL,16943,16653
BF,Barbara Frum,DL ,64602,62399
BY,Bayview,NL,55459,47532
BE,Beaches,NL,14476,14023
BD,Bendale,NL,25868,25528
BC,Black Creek,NL,15587,15691
BL,Bloor Gladstone,DL ,38578,37035
BR,Brentwood,DL ,36106,33138
BRW,Bridlewood,NL,38899,39671
BB,Brookbanks,NL,34805,34617
BUR,Burrows Hall,NL,23863,24216
CED,Cedarbrae,DL ,43288,43515
CE,Centennial,NL,47344,45693
CH,City Hall,NL,29969,25943
CC,Cliffcrest,NL,15935,15703
CS,College Shaw,NL,24193,24182
DA,Danforth Coxwell,NL,15301,14641
DT,Davenport,NL,9721,9792
DR,Dawes Road,NL,30139,29895
DP,Deer Park,NL,30202,29267
DM,Don Mills,DL ,38478,37844
DO,Downsview,NL,45150,45053
DU,Dufferin St Clair,NL,17122,16073
EA,Eatonville,NL,39965,35778
ES,Eglinton Square,NL,14154,13391
EB,Elmbrook Park,NL,25234,25361
EG,Evelyn Gregory,NL,17903,18116
FV,Fairview,DL ,53846,49363
FP,Flemingdon Park,NL,21933,22168
FH,Forest Hill,NL,24618,24387
FO,Fort York,NL,43487,26514
GE,Gerrard Ashdale,NL,18460,17776
GHP,Goldhawk Park,NL,26088,26652
GW,Guildwood,NL,26641,26425
HP,High Park,NL,27317,27394
HC,Highland Creek,NL,23813,24372
HIL,Hillcrest,NL,29224,30664
HB,Humber Bay,NL,17972,17841
HS,Humber Summit,NL,22407,22882
HW,Humberwood,NL,11722,12623
JD,Jane Dundas,NL,23149,22642
JS,Jane Sheppard,NL,17444,18033
JO,Jones,NL,15233,13704
KE,Kennedy Eglinton,NL,25195,24421
LE,Leaside,NL,21584,21058
LHS,Lillian H Smith,DL ,13188,14284
LO,Locke,NL,24419,24344
LB,Long Branch,NL,10084,9632
MA,Main Street,NL,20434,20047
MAL,Malvern,DL ,64162,65040
MAS,Maria A Shchuka,DL ,35870,35495
MRV,Maryvale,NL,16778,15962
MCG,McGregor Park,NL,20445,19570
MI,Mimico,NL,33964,26541
MS,Morningside,NL,27392,26547
MD,Mount Dennis,NL,28068,27249
MP,Mount Pleasant,NL,28245,26998
NT,New Toronto,NL,11463,10900
NYCL,North York Central,RR,90570,85775
ND,Northern District,DL ,32413,30634
NE,Northern Elms,NL,16390,16453
OV,Oakwood Village,NL,22680,22410
PM,Palmerston,NL,7963,8040
PA,Pape Danforth,DL ,26432,26128
PK,Parkdale,NL,31241,26555
PL,Parliament,NL,40663,35152
PE,Perth Dupont,NL,23211,22092
PV,Pleasant View,NL,12393,12564
PU,Port Union,NL,22866,22419
QS,Queen Saulter,NL,3051,2692
RX,Rexdale,NL,19489,19291
RI,Richview,DL ,81690,79789
RD,Riverdale,NL,14521,14942
RN,Runnymede,NL,11575,11299
SWS,S. Walter Stewart,DL ,29621,29019
SA,Sanderson,NL,39477,29948
SC,Scarborough Civic Centre,NL,35445,33371
SP,Spadina Road,NL,9963,9551
SI,St Clair Silverthorn,NL,17378,18513
SJ,St. James Town,NL,27917,27541
SL,St. Lawrence,NL,22322,17484
ST,Steeles,NL,25107,25532
SW,Swansea,NL,14863,12776
TA,Taylor Memorial,NL,17022,16224
TH,Thorncliffe,NL,21108,19225
TOD,Todmorden Room,NL,20375,20215
TRL,Toronto Reference Library,RR,2731571,2615060
VV,Victoria Village,NL,11237,10922
WE,Weston,NL,17992,18170
WS,Woodside Square,NL,26298,27413
WP,Woodview Park,NL,11796,9800
WY,Wychwood,NL,15596,14681
YW,York Woods,DL,55825,56263
YO,Yorkville,NL,53500,46077
